id,Country,Year,Asylum applicants,Asylum applicants per capita,Asylum applicants per GDP,Asylum applicants (first instance),Asylum applicants (first instance) per capita,Asylum applicants (first instance) per GDP,Total positive decisions,Total positive decisions per capita,Total positive decisions per GDP,Geneva Convention status grants,Geneva Convention status grants per capita,Geneva Convention status grants per GDP
FR,France,2018,137665,205,58,126580,189,54,32725,49,14,21125,32,9
HR,Croatia,2018,800,19,15,675,16,13,135,3,3,115,3,2
HU,Hungary,2018,670,7,5,635,6,5,365,4,3,70,1,1
IE,Ireland,2018,3670,76,11,3655,76,11,1005,21,3,630,13,2
IS,Iceland,2018,775,222,35,730,209,33,105,30,5,85,24,4
IT,Italy,2018,59950,99,34,53440,88,30,30670,51,17,6490,11,4
LI,Liechtenstein,2018,165,433,29,150,394,26,10,26,2,0,0,0
LT,Lithuania,2018,405,14,9,385,14,8,135,5,3,120,4,3
LU,Luxembourg,2018,2335,388,39,2225,370,37,1010,168,17,950,158,16
LV,Latvia,2018,185,10,6,175,9,6,30,2,1,25,1,1
MT,Malta,2018,2130,448,164,2035,428,157,645,136,50,150,32,12
NL,Netherlands,2018,24025,140,31,20465,119,26,3620,21,5,1760,10,2
NO,Norway,2018,2685,51,7,2550,48,7,1460,28,4,1335,25,4
PL,Poland,2018,4115,11,8,2405,6,5,375,1,1,170,0,0
PT,Portugal,2018,1285,12,6,1240,12,6,625,6,3,220,2,1
RO,Romania,2018,2135,11,10,1945,10,9,595,3,3,305,2,1
SE,Sweden,2018,21600,213,46,18110,179,38,10650,105,23,5990,59,13
SI,Slovenia,2018,2875,139,63,2800,135,61,100,5,2,100,5,2
SK,Slovakia,2018,175,3,2,155,3,2,45,1,1,0,0,0
UK,UK,2018,38920,59,16,38485,58,16,10110,15,4,7650,12,3
AT,Austria,2019,12885,145,32,11010,124,28,7425,84,19,5625,63,14
BE,Belgium,2019,27505,240,57,23140,202,48,6530,57,14,5555,48,12
BG,Bulgaria,2019,2150,31,35,2075,30,34,400,6,6,140,2,2
CH,Switzerland,2019,14255,167,22,12600,147,20,10795,126,17,5395,63,8
CY,Cyprus,2019,13650,1558,589,12695,1449,548,1300,148,56,150,17,6
CZ,Czechia,2019,1920,18,9,1575,15,7,135,1,1,50,0,0
DE,Germany,2019,165685,200,48,142510,172,41,70320,85,20,45050,54,13
DK,Denmark,2019,2740,47,9,2645,46,9,1575,27,5,645,11,2
EE,Estonia,2019,105,8,4,100,8,4,45,3,2,40,3,1
GR,Greece,2019,77285,721,422,74915,699,409,17350,162,95,13515,126,74
ES,Spain,2019,117815,251,95,115190,245,92,38420,82,31,1640,3,1
FI,Finland,2019,4535,82,19,2455,44,10,1665,30,7,1295,23,5
FR,France,2019,151070,225,62,138290,206,57,28140,42,12,17360,26,7
HR,Croatia,2019,1400,34,25,1270,31,23,55,1,1,55,1,1
HU,Hungary,2019,500,5,3,470,5,3,60,1,0,20,0,0
IE,Ireland,2019,4780,97,13,4740,97,13,975,20,3,585,12,2
IS,Iceland,2019,845,237,38,805,225,37,305,85,14,90,25,4
IT,Italy,2019,43775,73,24,35005,59,19,18375,31,10,10120,17,6
LI,Liechtenstein,2019,50,130,9,45,117,8,15,39,3,5,13,1
LT,Lithuania,2019,645,23,13,625,22,13,90,3,2,80,3,2
LU,Luxembourg,2019,2270,370,36,2200,358,35,670,109,11,635,103,10
LV,Latvia,2019,195,10,6,180,9,6,35,2,1,30,2,1
MT,Malta,2019,4090,829,288,4015,813,283,405,82,29,50,10,4
NL,Netherlands,2019,25260,146,31,22540,130,28,4845,28,6,2455,14,3
NO,Norway,2019,2305,43,6,2205,41,6,1795,34,5,1645,31,5
PL,Poland,2019,4080,11,8,2765,7,5,265,1,0,130,0,0
PT,Portugal,2019,1820,18,8,1735,17,8,170,2,1,60,1,0
RO,Romania,2019,2590,13,12,2455,13,11,585,3,3,320,2,1
SE,Sweden,2019,26285,257,55,23150,226,49,6065,59,13,3300,32,7
SI,Slovenia,2019,3820,184,79,3615,174,74,85,4,2,80,4,2
SK,Slovakia,2019,230,4,2,215,4,2,35,1,0,5,0,0
UK,UK,2019,46130,69,18,44315,66,18,14995,22,6,12585,19,5
AT,Austria,2020,14775,166,39,13415,151,35,6835,77,18,5000,56,13
BE,Belgium,2020,16735,145,36,12930,112,28,5710,50,12,4735,41,10
BG,Bulgaria,2020,3525,51,57,3460,50,56,820,12,13,105,2,2
CH,Switzerland,2020,11035,128,17,9765,113,15,10185,118,16,5260,61,8
CY,Cyprus,2020,7495,844,342,7065,796,323,1675,189,77,150,17,7
CZ,Czechia,2020,1165,11,5,795,7,4,105,1,0,40,0,0
DE,Germany,2020,122015,147,36,102580,123,30,62470,75,18,37820,45,11
DK,Denmark,2020,1490,26,5,1435,25,5,420,7,1,205,4,1
EE,Estonia,2020,50,4,2,45,3,2,25,2,1,20,2,1
GR,Greece,2020,40560,378,245,37860,353,229,34325,320,208,26370,246,159
ES,Spain,2020,88540,187,79,86385,183,77,51055,108,46,4360,9,4
FI,Finland,2020,3205,58,13,1455,26,6,1155,21,5,850,15,4
FR,France,2020,93200,138,40,81735,121,35,19130,28,8,11955,18,5
HR,Croatia,2020,1605,40,32,1540,38,31,40,1,1,35,1,1
HU,Hungary,2020,115,1,1,90,1,1,130,1,1,85,1,1
IE,Ireland,2020,1565,32,4,1535,31,4,945,19,3,620,12,2
IS,Iceland,2020,640,176,34,625,172,33,385,106,20,80,22,4
IT,Italy,2020,26950,45,16,21340,36,13,11585,19,7,4580,8,3
LI,Liechtenstein,2020,40,103,7,30,77,5,10,26,2,0,0,0
LT,Lithuania,2020,315,11,6,260,9,5,80,3,2,80,3,2
LU,Luxembourg,2020,1345,215,21,1295,207,20,750,120,12,720,115,11
LV,Latvia,2020,180,9,6,145,8,5,25,1,1,5,0,0
MT,Malta,2020,2480,482,188,2410,468,183,270,52,20,75,15,6
NL,Netherlands,2020,15320,88,19,13720,79,17,8620,50,11,4975,29,6
NO,Norway,2020,1395,26,4,1340,25,4,1145,21,4,1010,19,3
PL,Poland,2020,2790,7,5,1510,4,3,370,1,1,135,0,0
PT,Portugal,2020,1000,10,5,900,9,4,95,1,0,75,1,0
RO,Romania,2020,6155,32,28,6025,31,27,635,3,3,210,1,1
SE,Sweden,2020,16260,157,34,13630,132,28,4425,43,9,2830,27,6
SI,Slovenia,2020,3550,169,75,3465,165,74,85,4,2,85,4,2
SK,Slovakia,2020,280,5,3,265,5,3,40,1,0,5,0,0
AT,Austria,2021,39930,447,98,37830,424,93,12105,136,30,9500,106,23
BE,Belgium,2021,25035,217,50,19605,170,39,9170,79,18,8285,72,16
BG,Bulgaria,2021,11000,159,155,10890,157,153,2015,29,28,145,2,2
CH,Switzerland,2021,14905,172,22,13295,153,20,9025,104,13,5245,60,8
CY,Cyprus,2021,13670,1526,569,13260,1480,552,2290,256,95,310,35,13
CZ,Czechia,2021,1410,13,6,1060,10,4,260,2,1,190,2,1
DE,Germany,2021,190615,229,53,148235,178,41,59850,72,17,32065,39,9
DK,Denmark,2021,2100,36,6,2015,35,6,775,13,2,360,6,1
EE,Estonia,2021,80,6,3,75,6,2,50,4,2,45,3,1
GR,Greece,2021,28355,266,156,22660,212,125,16575,155,91,13035,122,72
ES,Spain,2021,65315,138,54,62065,131,51,20405,43,17,5355,11,4
FI,Finland,2021,2540,46,10,1365,25,5,1065,19,4,855,15,3
FR,France,2021,120705,178,48,103810,153,42,33875,50,14,21340,32,9
HR,Croatia,2021,2935,73,50,2730,68,47,70,2,1,70,2,1
HU,Hungary,2021,40,0,0,40,0,0,40,0,0,20,0,0
IE,Ireland,2021,2650,53,6,2615,52,6,1460,29,3,800,16,2
IS,Iceland,2021,870,236,40,865,235,40,255,69,12,50,14,2
IT,Italy,2021,53610,91,30,45200,76,25,21805,37,12,7380,12,4
LI,Liechtenstein,2021,95,243,17,85,218,15,5,13,1,0,0,0
LT,Lithuania,2021,3940,141,70,3905,140,70,420,15,7,405,14,7
LU,Luxembourg,2021,1420,224,20,1370,216,19,860,135,12,725,114,10
LV,Latvia,2021,615,32,18,580,31,17,90,5,3,65,3,2
MT,Malta,2021,1595,309,106,1200,233,80,180,35,12,20,4,1
NL,Netherlands,2021,26555,152,31,24755,142,29,12065,69,14,7825,45,9
NO,Norway,2021,1660,31,4,1615,30,4,1105,20,3,925,17,2
PL,Poland,2021,7810,21,14,6240,16,11,2155,6,4,1020,3,2
PT,Portugal,2021,1540,15,7,1350,13,6,305,3,1,225,2,1
RO,Romania,2021,9585,50,40,9065,47,38,1140,6,5,515,3,2
SE,Sweden,2021,14030,135,26,10180,98,19,2955,28,5,2075,20,4
SI,Slovenia,2021,5300,251,102,5220,248,100,15,1,0,15,1,0
SK,Slovakia,2021,370,7,4,330,6,3,45,1,0,15,0,0
AT,Austria,2022,108780,1212,243,106405,1185,238,16560,184,37,11455,128,26
BE,Belgium,2022,36795,316,67,32140,276,58,10925,94,20,10495,90,19
BG,Bulgaria,2022,20390,298,241,20260,296,240,4370,64,52,100,1,1
CH,Switzerland,2022,24500,280,32,23130,265,30,9890,113,13,4720,54,6
CY,Cyprus,2022,22190,2453,821,21590,2386,799,570,63,21,335,37,12
CZ,Czechia,2022,1690,16,6,1335,13,5,325,3,1,70,1,0
DE,Germany,2022,243880,293,63,217775,262,56,128465,154,33,40910,49,11
DK,Denmark,2022,4595,78,12,4505,77,12,515,9,1,395,7,1
EE,Estonia,2022,2945,221,81,2940,221,81,2100,158,58,60,5,2
